X5,X2,X3,X4,X6,X1,X10,X7,X8,X9,X11,X12,X15,X13,X14,Y
43,59,11,120,150,2709,2114,228,217,120,0.66,269,R1, FC11, CA49,BMW
0,54,7,0,693,2802,162,224,225,136,0.35,195,, FC11, CA50,BMW
0,28,12,0,1260,2325,162,215,213,133,0.89,750,, FC14, CA26,Mercedes
16,112,8,272,3649,2837,6221,235,231,128,0.27,-155,, FC11, CA32,Ford
10,59,7,134,900,2509,5184,226,226,134,0.93,88,, FC11, CA38,BMW
9,75,7,95,1889,2892,2371,228,228,133,0.79,39,, FC13, CA42,Toyota
91,,15,819,2190,2848,1717,181,245,203,0.98,-408,, FC13, CA37,BMW
139,130,27,228,300,2380,1855,252,212,69,0.51,231,, FC14, CA23,Mercedes
-2,0,9,124,5394,3208,900,206,222,154,0.97,-740,R2, FC11, CA42,Toyota
3,357,12,30,658,2273,698,201,218,155,0.48,648,, FC14, CA24,Honda
0,134,15,0,1380,2104,859,243,231,113,0.1,-826,, FC14, CA21,Mercedes
-14,317,11,153,1668,2866,1406,190,230,180,0.21,578,, FC13, CA43,BMW
-12,63,31,108,124,2741,1504,229,160,40,0.55,695,R3, FC11, CA50,BMW
12,0,5,127,1556,2561,1642,213,231,156,0.82,-214,, FC13, CA22,BMW
11,105,22,30,1505,2251,351,251,207,72,0.01,716,R2, FC14, CA23,Honda
0,153,20,0,700,2239,470,240,236,116,0.02,-903,R1, FC14, CA24,Mercedes
66,,3,564,4387,3245,2650,220,233,150,0.55,4,, FC11, CA42,Toyota
0,,3,0,1116,2562,5091,221,233,148,0.72,-643,, FC11, CA36,Ford
106,111,28,255,1032,2293,1290,254,197,50,0.27,151,, FC14, CA23,Mercedes
170,169,19,437,1802,2919,977,231,244,136,0.55,-539,, FC13, CA33,BMW
35,307,27,120,2971,3157,2467,138,213,211,0.19,637,, FC11, CA44,Toyota
5,,10,42,735,2817,210,215,219,140,0.84,-505,, FC11, CA50,BMW
11,18,9,120,4333,3246,972,213,221,144,0.93,833,, FC11, CA59,Toyota
91,185,27,216,1158,2216,566,214,247,149,0.59,86,R1, FC14, CA23,Mercedes
35,144,15,285,2187,2669,2474,240,236,122,0.53,-245,, FC13, CA24,Honda
186,27,12,577,779,3262,895,215,214,134,0.89,98,, FC11, CA42,Toyota
253,282,25,430,1437,2326,1073,144,232,224,0.53,-944,, FC14, CA30,Honda
115,129,21,255,1326,2298,999,249,222,90,0.3,-855,, FC14, CA23,Mercedes
130,167,18,361,1195,2311,1168,232,244,135,0.61,727,, FC14, CA26,Mercedes
21,275,15,180,3206,3250,1279,178,242,203,0.67,534,, FC13, CA51,Toyota
36,292,11,323,3097,3065,759,188,238,189,0.51,890,R1, FC13, CA52,Toyota
85,223,13,300,1012,2856,1805,203,252,183,0.25,172,, FC13, CA33,BMW
-4,176,7,30,600,3107,2014,224,244,154,0.64,-667,, FC11, CA43,Toyota
13,,9,127,153,2704,872,224,220,130,0.3,170,, FC13, CA31,BMW
64,,30,301,3665,3389,3747,137,186,179,0.09,-635,, FC11, CA59,GMC
50,76,24,108,108,2699,966,241,186,61,0.57,-628,, FC11, CA50,BMW
28,57,18,180,4673,3001,1864,229,200,97,0.31,-450,, FC11, CA49,Toyota
111,75,23,218,1883,2833,716,241,189,66,0.61,-397,, FC13, CA33,BMW
0,111,6,0,1177,2111,1307,230,234,137,0.83,199,, FC14, CA37,Mercedes
0,38,24,0,1338,2193,939,211,179,91,0.12,-386,, FC14, CA37,Mercedes
-5,200,6,60,1140,2634,780,218,245,163,0.38,-730,R2, FC13, CA37,Honda
105,347,38,218,277,2978,2003,123,152,149,0.77,279,, FC11, CA50,Toyota
75,75,24,277,1298,2317,914,241,189,66,0.82,-377,, FC14, CA30,Honda
0,62,8,0,765,2080,134,227,223,130,0.89,779,, FC14, CA24,Mercedes
8,84,16,42,524,2443,1718,241,212,97,0.39,232,, FC14, CA26,Honda
4,194,10,30,3111,3064,5721,218,249,164,0.4,273,, FC11, CA40,Toyota
55,71,22,108,120,2702,1723,238,190,71,0.15,-905,, FC11, CA50,BMW
52,94,31,90,90,2698,2466,251,178,32,0.14,-363,, FC11, CA50,BMW
8,92,15,30,480,2044,658,242,215,98,0.88,-693,, FC14, CA21,Mercedes
11,4,12,60,3550,3202,3349,204,216,149,0.84,-196,, FC11, CA43,GMC
4,78,8,67,3722,3193,3130,231,226,128,0.77,-401,, FC11, CA43,GMC
20,77,5,268,1292,2566,1383,227,230,138,0.89,-802,, FC13, CA22,BMW
1,307,12,67,1899,2729,659,186,233,186,0.74,560,, FC13, CA51,BMW
0,8,19,0,1507,2807,2389,194,198,137,0.94,-657,, FC13, CA40,Toyota
89,105,13,268,5618,2916,4417,242,223,108,0.94,-272,, FC11, CA49,Ford
2,284,4,30,792,2048,636,209,240,169,0.88,-86,, FC14, CA37,Mercedes
41,99,29,85,495,2094,175,252,185,40,0.82,79,, FC14, CA23,Mercedes
-3,173,12,108,6836,3073,2735,227,246,149,0.33,154,, FC11, CA49,Ford
62,326,23,212,1176,2234,1116,156,207,187,0.97,-722,, FC14, CA30,Honda
54,144,10,420,711,2582,1316,235,238,133,0.57,373,, FC13, CA22,Honda
3,153,12,342,450,2801,474,234,240,135,0.9,919,, FC11, CA50,BMW
128,130,33,242,757,2228,210,252,200,47,0.32,642,, FC14, CA23,Mercedes
5,283,9,90,2188,2896,1448,196,241,184,0.87,-79,, FC13, CA43,BMW
0,312,18,0,573,2073,162,168,224,195,0.81,511,, FC14, CA24,Mercedes
1,101,5,30,900,2047,541,228,233,139,0.8,800,, FC14, CA37,Mercedes
11,13,11,90,4434,3315,3966,209,217,144,0.05,-536,, FC11, CA58,GMC
-65,83,32,182,210,2785,2221,244,167,27,0.32,-536,, FC11, CA50,BMW
16,145,15,240,1753,3031,1239,240,236,121,0.05,471,, FC11, CA49,Toyota
5,51,6,272,384,2793,711,223,227,139,0.17,350,R3, FC11, CA50,BMW
40,287,12,272,1425,2740,2040,186,239,193,0.29,-113,R3, FC13, CA31,BMW
0,36,17,0,1507,2239,947,217,200,113,0.48,304,, FC14, CA37,Mercedes
40,27,11,446,2873,3148,2704,215,217,137,1,-87,, FC13, CA52,Toyota
165,326,14,361,484,2224,335,184,224,179,0.14,73,, FC14, CA22,Honda
0,,11,0,1253,2247,664,228,216,119,0.82,-385,, FC14, CA22,Mercedes
0,235,8,0,1507,2976,1695,207,247,178,0.16,344,, FC13, CA52,BMW
59,45,11,242,524,2346,601,223,215,125,0.11,542,, FC14, CA24,Honda
0,115,14,0,1338,2259,537,243,226,109,0.07,-77,, FC14, CA23,Mercedes
74,240,26,212,433,2072,607,162,250,218,0.41,677,, FC14, CA25,Honda
120,,38,285,446,2171,351,176,133,66,0.73,859,, FC14, CA30,Honda
4,160,25,30,1376,2109,789,236,236,114,0.66,911,, FC14, CA21,Mercedes
4,142,13,30,1567,2795,1765,239,237,125,0.39,-508,, FC13, CA37,BMW
20,354,12,190,480,2503,1513,200,218,156,0.36,113,, FC14, CA26,Honda
76,84,11,417,990,3345,1354,235,222,117,0.93,153,, FC13, CA59,GMC
14,,37,402,679,2344,752,119,237,238,0.74,226,, FC14, CA21,Honda
-4,94,7,212,684,2524,5474,232,229,130,0.32,-249,, FC11, CA38,BMW
50,117,15,212,1052,2362,67,244,225,106,0.69,-794,, FC14, CA26,Honda
1,68,7,30,1676,2750,2631,227,226,133,0.41,-727,, FC11, CA43,BMW
10,142,25,30,1124,2190,1167,247,225,91,0.11,-485,, FC14, CA23,Mercedes
3,72,12,60,677,2809,218,234,216,112,0.41,609,, FC11, CA50,BMW
46,,24,350,210,2371,778,150,238,224,0.04,-291,R2, FC14, CA30,Honda
0,154,21,0,553,2118,457,239,237,117,0.6,-914,, FC14, CA24,Mercedes
9,62,17,42,3900,3219,2885,232,202,95,0.21,-343,, FC11, CA59,GMC
58,342,9,268,2242,3030,2598,201,226,164,0.57,2,, FC13, CA43,Toyota
18,190,23,90,474,2861,1168,213,250,158,0.28,-624,, FC13, CA33,BMW
0,336,10,0,685,2373,1507,197,226,168,0.1,-569,, FC14, CA31,Mercedes
10,196,20,42,592,2027,402,211,252,167,0.01,60,, FC14, CA21,Honda
106,123,28,201,792,2303,1513,253,207,61,0.37,-965,, FC14, CA23,Mercedes
76,111,31,170,488,2301,1803,254,190,38,0.72,852,, FC14, CA23,Mercedes
0,,10,0,1233,2175,847,208,250,178,0.83,-724,, FC14, CA37,Mercedes
-5,68,8,210,666,2529,5484,228,225,130,1,-617,, FC11, CA38,BMW
37,0,9,190,2135,3273,2560,206,222,154,0.28,920,, FC11, CA49,Toyota
60,106,16,192,469,2827,1230,246,219,97,0.8,330,, FC11, CA50,BMW
11,,16,350,1541,2695,957,244,230,109,0.48,263,R2, FC13, CA22,Honda
-12,141,9,67,1907,2579,1956,234,238,135,0.33,-743,, FC13, CA31,Honda
49,,26,108,127,2736,1254,221,175,73,0.06,298,, FC11, CA49,BMW
128,310,33,150,313,2176,484,115,198,213,0.61,-792,R3, FC14, CA30,Honda
83,122,30,162,787,2280,1510,254,201,51,0.97,-442,, FC14, CA23,Mercedes
52,224,28,342,912,2346,450,171,252,205,0.26,435,, FC14, CA26,Mercedes
0,348,6,0,127,2302,192,209,231,160,0.27,-204,, FC14, CA30,Mercedes
98,107,33,190,2137,2831,450,254,182,28,0.39,-3,, FC13, CA33,BMW
46,317,16,201,1677,2762,1142,176,224,187,0.53,390,, FC13, CA30,BMW
0,294,18,0,2133,2859,959,165,232,206,0.01,903,, FC13, CA39,BMW
111,74,30,153,162,2754,2100,239,168,37,1,75,, FC11, CA50,BMW
65,213,11,573,4237,3292,2039,210,251,175,0.39,645,, FC11, CA43,GMC
26,283,16,120,42,2367,663,174,239,204,0.11,277,, FC14, CA30,Honda
0,304,9,0,1952,2738,732,196,236,180,0.97,-455,, FC13, CA51,BMW
43,133,11,242,3491,3067,2771,237,235,127,0.75,-398,, FC11, CA50,Toyota
10,25,14,85,1684,2810,1678,213,210,131,0.8,-379,, FC13, CA37,BMW
0,332,8,0,1485,2233,631,201,230,168,0.59,993,, FC14, CA37,Mercedes
86,233,2,420,2045,2884,808,215,241,163,0.02,-615,R3, FC13, CA51,BMW
39,231,18,175,1894,2765,932,189,253,198,0.42,645,, FC13, CA53,BMW
0,,23,0,1411,2255,457,250,220,85,0.72,-555,, FC14, CA23,Mercedes
106,27,27,283,426,2139,331,198,172,97,0.91,-29,, FC14, CA21,Honda
-7,42,13,497,953,2499,3950,222,212,123,0.63,812,, FC11, CA38,Ford
167,163,21,361,2195,2833,2121,235,241,126,0.64,-615,, FC13, CA30,Honda
71,80,11,300,295,2425,426,234,221,118,0.97,-506,, FC14, CA22,Honda
26,232,12,379,1850,2787,2073,201,251,186,0.14,693,, FC13, CA37,BMW
21,125,4,120,532,2547,1077,226,237,145,0.78,914,, FC14, CA26,Honda
